,Species,DBH,Multi-Stem,Street Address
1248,"Pear, Callery (Pyrus calleryana)",19,No,7447 Lyndover Pl
641,"Pear, Callery (Pyrus calleryana)",8,No,7449 Flora Ave
1674,"Pear, Callery (Pyrus calleryana)",4,No,7515 Picadilly Ave
1675,"Pear, Callery (Pyrus calleryana)",22,No,7515 Rannells Ave
396,"Pear, Callery (Pyrus calleryana)",18,No,7521 Comfort Ave
397,"Pear, Callery (Pyrus calleryana)",16,No,7521 Comfort Ave
398,"Pear, Callery (Pyrus calleryana)",14,No,7522 Comfort Ave
399,"Pear, Callery (Pyrus calleryana)",16,No,7522 Comfort Ave
47,"Pear, Callery (Pyrus calleryana)",20,No,7535 Alicia Ave
49,"Pear, Callery (Pyrus calleryana)",11,No,7544 Alicia Ave
50,"Pear, Callery (Pyrus calleryana)",20,No,7548 Alicia Ave
51,"Pear, Callery (Pyrus calleryana)",22,No,7548 Alicia Ave
2288,"Pear, Callery (Pyrus calleryana)",18,No,7548 Williams Ave
1180,"Pear, Callery (Pyrus calleryana)",4,No,7550 Lohmeyer Ave
1186,"Pear, Callery (Pyrus calleryana)",7,No,7550 Lohmeyer Ave
1193,"Pear, Callery (Pyrus calleryana)",10,No,7550 Lohmeyer Ave
1194,"Pear, Callery (Pyrus calleryana)",11,No,7550 Lohmeyer Ave
1195,"Pear, Callery (Pyrus calleryana)",12,No,7550 Lohmeyer Ave
408,"Pear, Callery (Pyrus calleryana)",8,No,7609 Comfort Ave
58,"Pear, Callery (Pyrus calleryana)",18,No,7611 Alicia Ave
2117,"Pear, Callery (Pyrus calleryana)",16,No,7618 W Bruno Ave
2118,"Pear, Callery (Pyrus calleryana)",16,No,7618 W Bruno Ave
2120,"Pear, Callery (Pyrus calleryana)",21,No,7620 W Bruno Ave
2122,"Pear, Callery (Pyrus calleryana)",24,No,7620 W Bruno Ave
935,"Pear, Callery (Pyrus calleryana)",14,No,7621 Jerome Ave
939,"Pear, Callery (Pyrus calleryana)",12,No,7630 Jerome Ave
64,"Pear, Callery (Pyrus calleryana)",10,No,7634 Alicia Ave
2205,"Pear, Callery (Pyrus calleryana)",12,No,7637 Weaver Ave
66,"Pear, Callery (Pyrus calleryana)",6,No,7638 Alicia Ave
2208,"Pear, Callery (Pyrus calleryana)",16,No,7643 Weaver Ave
2209,"Pear, Callery (Pyrus calleryana)",21,No,7648 Weaver Ave
1704,"Pear, Callery (Pyrus calleryana)",22,No,7733 Rannells Ave
953,"Pear, Callery (Pyrus calleryana)",9,No,7735 Jerome Ave
954,"Pear, Callery (Pyrus calleryana)",12,No,7735 Jerome Ave
1132,"Pear, Callery (Pyrus calleryana)",13,No,7749 Lindbergh Dr
956,"Pear, Callery (Pyrus calleryana)",10,No,7758 Jerome Ave
2316,"Pear, Callery (Pyrus calleryana)",18,No,7793 Williams Ct
2317,"Pear, Callery (Pyrus calleryana)",14,No,7793 Williams Ct
556,"Pear, Callery (Pyrus calleryana)",8,No,7830 Edgebrook Ln
557,"Pear, Callery (Pyrus calleryana)",12,No,7830 Edgebrook Ln
562,"Pear, Callery (Pyrus calleryana)",3,No,7830 Edgebrook Ln
312,"Pine, Scotch (Pinus sylvestris)",14,No,3531 Cambridge Ave
54,"Poplar, White (Populus alba)",14,No,7600 Alicia Ave
55,"Poplar, White (Populus alba)",12,No,7600 Alicia Ave
2342,"Spruce, Norway (Picea abies)",7,No,2114 Yale Ave
1191,"Spruce, Norway (Picea abies)",6,No,7550 Lohmeyer Ave
717,Tree of Heaven (Ailanthus altissima),34,Yes,7743 Folk Ave
1115,Tree of Heaven (Ailanthus altissima),13,No,7749 Lindbergh Dr
1122,Tree of Heaven (Ailanthus altissima),8,Yes,7749 Lindbergh Dr
1127,Tree of Heaven (Ailanthus altissima),22,No,7749 Lindbergh Dr
1135,Tree of Heaven (Ailanthus altissima),20,No,7749 Lindbergh Dr
